lookupVariable,lookupValue,newVariable,newValue,source
,NA,,NA,Sam Maher
,january,,1,Sam Maher
,april,,4,Sam Maher
,march,,3,Sam Maher
,october,,10,Sam Maher
,7,,7,Sam Maher
,december,,12,Sam Maher
,july,,7,Sam Maher
,september,,1,Sam Maher
,february,,2,Sam Maher
,june,,6,Sam Maher
,may,,5,Sam Maher
,august,,8,Sam Maher
,2,,2,Sam Maher
,mid-august,,8,Sam Maher
,november,,11,Sam Maher
,6,,6,Sam Maher
,12,,12,Sam Maher
,nov,,11,Sam Maher
,febuary,,2,Sam Maher
,1,,1,Sam Maher
,3,,3,Sam Maher
,5,,5,Sam Maher
,mar,,3,Sam Maher
,sep.,,9,Sam Maher
